,Unnamed: 0,TAG,A_431FM1_FI,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,L_SPC_COOLING_AIR,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
5761,7099,22-03-2020 17:00,0,201.4,80,400,700.5,629.4,238,157,285.9,15.3,530,0,609.6,543,750,0.2,0.3,2.3,277.9,183.9,4.7,33.2,-8.7,14.8
5762,7100,22-03-2020 18:00,0,201.3,80.1,399.9,699.4,332.3,274,160.7,257.3,21.2,530,0,568.1,492.7,750,0.1,0.3,2.3,234.5,17.7,2.6,31.4,-9.2,14.6
5763,7101,22-03-2020 19:00,0,175.8,72.9,399.7,700.4,324.6,282.4,158.4,266.3,14.2,530,0,515.7,463,750,0,0.3,2.4,235.6,18.8,2.9,31.3,-9.7,14.6
5764,7102,22-03-2020 20:00,0,201.4,80.8,400,646.4,324.5,266.7,158.3,287.4,2.6,530,0,474.9,418.4,750,0,0.3,2.4,219.4,18.5,3.5,33.4,-9.6,14.8
5765,7103,22-03-2020 21:00,0,201.4,80.2,333.9,415.8,323.2,251.6,156.7,286.2,0,530,0,447.6,381.2,750,0,0.4,2.3,114.4,17,3.6,33.6,-9.2,14.9
5766,7104,22-03-2020 22:00,0,201.2,80,122.7,152.7,320.4,244.8,152.2,279.6,0,530,0,403.6,363.3,750,0.2,0.3,2.3,12.6,15.5,3.6,33.1,-8.8,15.3
5767,7105,22-03-2020 23:00,0,201.2,79.9,118.5,150.3,314.6,242.6,151.7,272.6,0,530,0,364.7,327.1,750,0,0.3,2.3,12.3,15.5,3.5,33.2,-9,15
5781,8171,05-06-2020 09:00,125.1,126.2,95.2,116.3,142.8,325.3,243.2,149.4,288.5,0,530,0,134.9,259.7,750,0,0,0,13.4,15.7,3.3,34.8,-8.6,16.4
5782,8172,05-06-2020 10:00,125,126.1,94.4,117.6,152.9,327.4,247.1,147.5,293.7,0,530,0,135.2,280.9,750,0,0,0,13.8,15.7,3.3,34.9,-8.2,16.6
5783,8173,05-06-2020 11:00,125,126.2,94.8,118.5,155.1,329.2,252.9,146.1,298.4,0,530,0,162.7,318.6,750,0,0,0,14.3,16,3.5,34.4,-7.6,17
5784,8174,05-06-2020 12:00,124.9,126.2,94.9,118.2,156,332.6,245.5,144.3,285.7,3.1,530,0,185.2,337.8,756.4,0,0,0,14.8,15.9,3.3,35,-7.3,17.1
5785,8175,05-06-2020 13:00,124.9,126.2,94.8,116.8,149.3,329.4,238.1,145.7,271.8,1.5,530,0,209.3,334.8,758.8,0,0,0,14.2,15.8,3.3,34.4,-7.6,17
5786,8176,05-06-2020 14:00,124.9,126.2,94.2,116.8,121.3,329.8,238.5,146.1,289.5,0,530,0,203.2,367.9,752.3,0,0,0,14.4,16.2,3.6,34.8,-7.7,17.2
5787,8177,05-06-2020 15:00,124.9,126.2,94.5,119,140.6,333,239.1,145.1,286.8,0.1,530,0,213.1,372.2,764.5,0,0,0,14.4,16.1,3.7,35.5,-7.5,17.4
5788,8178,05-06-2020 16:00,125,126.2,94.3,114.3,148.9,331,238.5,143,285.3,0,530,0,226.5,400.6,756.9,0,0,0,14.2,15.8,3.6,35.1,-7.4,17.4
5789,8179,05-06-2020 17:00,124.9,126.2,94.2,117.7,147.1,332.6,238.2,146.2,280.8,2.1,530,0,239.1,453.2,750,0,0,0,14.3,15.8,3.7,34.3,-7.4,17.3
5790,8180,05-06-2020 18:00,125,126.3,93.8,114.6,142.8,327,237.5,144.6,279.9,1.1,530,0,244.3,492.2,750,0,0,0,14.6,16.2,3.7,35.2,-7.6,17.4
5791,8181,05-06-2020 19:00,124.9,126.2,93.9,109.6,153.1,323.1,239,143.9,276.5,0.5,530,0,259.3,525.6,750,0,0,0,14.2,16.1,3.6,34.4,-7.7,17.2
5792,8182,05-06-2020 20:00,124.9,126.1,94.4,109.3,153.7,321.7,240.1,143.6,271.6,0,530,0,266.3,567.8,750,0,0,0,13.5,15.9,3.4,33.6,-7.8,16.9
5793,8183,05-06-2020 21:00,125,126.2,94.2,116.2,153.1,321.4,239.9,147.2,277.9,0,530,0,275.3,554.6,756.4,0,0,0,13.7,15.9,3.4,34,-8.3,16.8
5794,8184,05-06-2020 22:00,125,126.2,93.9,119.6,153.8,322.8,240.7,149.9,278.4,0.4,530,0,288.5,620.8,848.2,0,0,0,13.4,15.6,3.5,33.5,-8.4,16.6
5795,8185,05-06-2020 23:00,125,126.3,93.8,114.4,153.4,321.4,241,148.6,277.4,0,530,0,299.6,646.3,773.3,0,0,0,13.1,15.8,3.4,33.4,-8.3,16.4
5796,8186,05-07-2020 00:00,125.1,126.2,93.9,113.9,153.2,320.9,243.1,151,275.2,0,530,0,308.5,650.8,832.2,0,0,0,12.9,15.8,3.3,34.6,-8.6,16.5
5797,8187,05-07-2020 01:00,125,126.3,93.6,111.8,154.5,320.2,245.7,151.1,276,0,530,0,301.8,645.2,771.5,0,0,0,13.1,15.7,3.2,34.4,-9,16.3
5798,8188,05-07-2020 02:00,124.9,126.3,93.6,114.2,154.2,318.4,247.1,151,278.4,0,530,0,303.7,686.6,785.5,0,0,0,12.8,15.9,3.3,33.8,-8.9,16.2
5799,8189,05-07-2020 03:00,124.9,126.1,93.5,112.3,153.7,316.6,249,151.5,281,0,530,0,296.2,716.6,776.9,0,0,0,12.6,15.5,3.3,33.5,-8.9,16.2
5800,8190,05-07-2020 04:00,124.9,126.3,93.5,110.4,152.1,315.4,250.6,150.1,281.3,0.4,530,0,299.9,727.5,972.8,0,0,0,12.5,15.7,3.4,33.8,-9,16.4
5801,8191,05-07-2020 05:00,124.9,126.2,93.6,110.8,152.7,315.5,249.4,149.7,280.1,0.1,530,0,306,744,915.5,0,0,0,12.5,15.9,3.3,33.6,-9,16.4
5802,8192,05-07-2020 06:00,125,126.2,94.4,124.9,159.7,316.3,249.5,151.7,280.3,0.4,530,0,317.2,757.2,908.6,0,0,0,47.2,19.4,3.3,33.8,-9.2,16.3
5803,8193,05-07-2020 07:00,124.9,126.2,94.4,113.7,154.6,326.2,252.8,156.6,285.8,76.2,530,0,329.3,790.7,1111.1,0.2,103.6,8.1,31.7,34.4,6.1,36.5,-6.3,24.4
5806,8209,05-07-2020 23:00,0,194.8,80,543.1,1066,1132.6,1151.8,998.9,925.9,846.5,530,0,664.3,1062.3,1008.4,1.8,509.5,213.5,852.8,833.4,784.7,726.9,643.1,500.5
