,Unnamed: 0,TAG,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
0,0,TAG DES,Kiln Feed,Kiln Feed BE KW,COOLER FAN-1 FOLW,COOLER FAN-2 FOLW,COOLER FAN-3 FOLW,COOLER FAN-4 FOLW,COOLER FAN-5 FOLW,COOLER FAN-6 FOLW,COOLER FAN-7 FOLW,CLINKER TEMP,TERITIARY AIR TEMP,Kiln I/L Temp,BURNING ZONE TEMP,Kiln rpm,Kiln current,kiln M.DRIVE POWER,COOLER FAN-2 PRESSURE,COOLER FAN-3 PRESSURE,COOLER FAN-4 PRESSURE,COOLER FAN-5 PRESSURE,COOLER FAN-6 PRESSURE,COOLER FAN-7 PRESSURE
1,1,UNIT,TPH,Kw,m³/min,m³/min,m³/min,m³/min,m³/min,m³/min,m³/min,°C,°C,°C,°C,rpm,A,Kw,mmWc,mmWc,mmWc,mmWc,mmWc,mmWc
432,442,19-09-2019 09:00,299.7,103.4,235.0,303.8,307.0,246.8,154.8,286.3,0.0,52.0,253.1,412.6,1057.5,0.0,0.0,1.4,186.5,19.7,3.0,38.1,-7.8,16.4
433,443,19-09-2019 10:00,299.9,103.8,238.2,308.6,307.5,246.0,154.1,288.4,1.3,53.3,243.9,485.3,1197.9,0.0,0.0,1.4,186.4,19.8,3.1,37.0,-7.4,16.5
434,444,19-09-2019 11:00,299.8,103.9,254.3,385.8,311.2,245.0,153.6,289.5,0.9,54.1,242.5,560.6,1172.6,0.0,0.0,1.5,178.9,19.5,3.1,37.6,-7.2,16.6
435,445,19-09-2019 12:00,299.7,103.9,254.8,376.0,309.4,244.4,154.6,290.6,6.3,54.8,237.5,574.6,1056.7,0.0,0.0,1.5,179.8,19.5,3.1,37.7,-7.2,16.5
436,446,19-09-2019 13:00,274.9,97.9,222.8,352.3,311.1,242.9,152.4,291.2,5.6,55.5,231.9,583.3,1116.0,0.0,0.0,1.4,182.7,19.3,3.1,36.9,-6.9,16.5
437,447,19-09-2019 14:00,250.9,91.5,189.8,322.2,315.9,242.6,150.0,288.2,3.5,55.9,236.2,646.8,1056.6,0.0,0.0,1.4,184.6,19.4,3.1,37.3,-6.6,16.6
438,448,19-09-2019 22:00,175.1,70.3,499.5,849.2,473.6,847.9,848.6,697.3,598.9,55.5,640.6,1021.6,1434.6,2.4,349.1,167.2,739.3,801.8,666.3,672.4,604.1,449.5
439,449,19-09-2019 23:00,205.3,78.3,547.7,1063.7,520.8,994.9,935.2,699.1,599.7,93.0,731.1,1026.9,1323.0,3.3,342.7,219.0,886.5,904.9,876.7,852.9,697.1,473.6
440,450,20-09-2019 00:00,220.7,82.9,550.4,1100.0,510.3,1051.5,952.9,657.5,578.4,90.8,753.9,1054.3,1355.3,4.0,350.0,273.8,844.8,894.2,878.6,849.9,649.1,448.7
441,451,22-09-2019 00:00,251.3,91.9,599.4,1149.5,1368.7,1016.0,907.5,783.5,755.9,96.3,1040.1,1113.4,1211.2,5.0,470.8,481.3,905.7,911.8,889.1,889.9,822.1,606.7
442,452,22-09-2019 01:00,257.5,92.9,600.1,1149.5,1330.7,1062.3,942.4,843.9,817.8,82.3,1027.8,1095.9,1265.7,5.0,464.8,478.8,886.2,891.3,882.7,877.9,828.2,627.9
443,453,22-09-2019 03:00,269.7,96.1,600.3,1150.8,1333.4,1089.7,961.8,877.1,850.8,103.9,1025.9,1125.3,1331.5,5.0,452.0,462.4,919.3,918.6,881.4,869.1,817.5,626.5
444,454,22-09-2019 07:00,274.6,97.2,599.8,1151.6,1326.7,1058.3,943.8,875.2,858.3,73.3,1037.0,1175.3,1247.6,5.0,454.2,466.2,925.5,923.8,884.1,876.5,829.5,627.1
445,455,22-09-2019 08:00,275.4,97.6,606.3,1149.0,1342.5,1088.6,970.0,853.1,833.7,71.3,1016.8,1173.3,1258.9,5.0,470.3,480.9,905.8,913.0,881.5,869.5,803.4,602.8
446,456,22-09-2019 20:00,279.2,98.8,634.0,1149.6,1330.9,1066.1,993.1,693.6,690.3,83.4,1043.5,1201.8,1210.1,5.0,521.2,544.0,920.1,916.3,875.4,846.6,676.0,469.7
447,457,22-09-2019 21:00,275.1,97.5,649.9,1149.5,1347.5,1047.4,975.8,676.3,673.0,89.2,1056.8,1205.1,1185.7,5.0,539.2,564.8,913.2,915.4,878.9,858.1,686.7,475.0
448,458,22-09-2019 22:00,271.3,96.8,650.7,1149.7,1356.4,1070.5,1011.8,649.8,650.5,88.1,1053.7,1201.4,1175.0,5.0,534.3,558.6,910.2,915.7,877.1,851.1,645.7,442.7
449,459,22-09-2019 23:00,271.1,96.5,650.6,1148.7,1374.2,1057.2,973.1,688.8,684.8,100.0,1078.9,1180.7,1168.0,5.0,501.8,522.8,888.4,911.0,880.8,865.5,709.0,498.3
450,460,23-09-2019 02:00,221.2,82.5,649.7,1151.0,1312.3,1121.2,801.5,552.0,551.1,71.7,1039.8,1140.5,1147.6,4.1,498.9,442.4,920.7,926.8,873.6,736.5,555.0,369.3
451,461,23-09-2019 03:00,221.3,82.4,649.8,1148.8,1265.5,1040.9,799.5,550.1,550.3,96.9,1038.3,1156.4,1162.1,4.4,516.3,496.8,973.7,945.4,884.5,757.7,558.5,359.0
452,462,23-09-2019 04:00,221.3,82.5,649.5,1149.9,1274.8,1070.8,858.4,569.4,568.5,89.4,1058.4,1164.8,1202.0,4.8,529.1,544.2,961.6,940.4,882.3,775.1,566.2,368.7
453,463,23-09-2019 05:00,230.4,85.3,650.6,1151.5,1329.4,1104.9,1000.4,601.4,600.5,74.5,1073.7,1173.2,1238.1,5.0,517.5,539.7,940.4,929.7,876.4,818.8,574.7,373.5
454,464,23-09-2019 06:00,223.4,83.4,613.7,1149.1,1266.9,1086.9,959.1,599.5,599.6,72.2,1063.0,1180.6,1199.8,5.0,528.3,554.7,972.2,944.3,879.3,787.1,543.0,349.5
455,465,23-09-2019 07:00,221.3,82.5,600.2,1150.7,1298.6,1094.5,899.9,621.0,619.6,89.8,1054.7,1157.6,1170.7,4.8,490.8,495.9,947.7,936.3,879.2,778.7,584.9,387.0
456,466,23-09-2019 08:00,224.8,83.3,598.9,1150.8,1264.5,1018.7,899.4,603.3,604.1,81.3,1033.9,1129.3,1159.9,5.0,492.4,509.0,960.8,944.7,888.6,824.6,611.0,392.7
457,467,29-09-2019 05:00,275.4,95.7,600.1,1101.1,1235.5,1022.4,891.8,751.7,751.7,108.9,1055.6,1136.6,1167.3,5.0,452.7,459.9,906.7,915.1,895.5,885.5,822.3,568.5
458,468,29-09-2019 12:00,277.2,96.3,612.0,1119.9,1080.5,1086.6,961.4,899.4,878.2,86.6,1009.5,1124.5,1246.5,5.0,428.3,433.5,879.2,841.5,848.1,845.8,819.2,597.0
459,469,30-09-2019 04:00,263.5,93.4,598.9,1099.0,1134.5,1051.9,985.6,878.7,879.8,94.4,955.7,1084.0,1249.3,4.7,372.4,339.4,900.6,863.9,863.2,858.9,809.2,590.2
460,470,10-01-2019 08:00,158.8,68.3,527.0,887.8,823.0,705.4,577.2,431.4,391.9,59.3,694.0,997.2,1151.3,2.3,344.2,160.5,536.6,480.2,443.1,394.9,271.7,217.1
461,471,10-04-2019 00:00,240.9,90.5,600.1,1100.3,1399.3,1199.8,1049.6,551.2,551.1,89.4,1029.8,519.8,1171.3,5.0,393.3,389.0,893.1,902.1,870.1,772.8,467.7,310.1
462,472,10-04-2019 18:00,179.9,73.9,563.9,1063.1,1315.7,1255.1,1091.7,618.1,618.3,63.8,989.3,957.0,1177.4,4.2,311.0,238.0,831.2,838.8,852.0,787.7,522.8,344.3
463,473,10-04-2019 19:00,179.9,74.0,562.2,1003.9,1152.0,961.2,990.0,604.4,599.6,58.9,959.5,900.3,1022.3,4.1,294.0,205.6,1015.0,977.0,901.8,857.4,590.5,362.3
464,474,10-04-2019 20:00,183.1,75.0,600.7,1099.8,1275.9,1127.6,976.7,621.6,598.7,93.0,976.5,895.9,1078.4,4.2,295.0,209.1,823.7,840.8,877.2,865.6,672.9,423.3
465,475,10-04-2019 21:00,199.9,79.5,599.8,1102.6,1299.1,1192.5,1069.9,601.6,600.5,74.4,960.1,969.5,1182.0,4.6,325.0,269.6,861.6,860.2,873.0,834.2,580.6,397.4
466,476,10-04-2019 22:00,200.8,79.9,599.6,1098.8,1300.1,1163.1,1089.8,600.0,599.8,74.9,999.7,965.2,1189.4,4.6,325.7,273.2,889.5,876.7,876.5,826.2,547.3,359.6
467,477,10-04-2019 23:00,201.0,79.5,599.9,1099.8,1283.3,1156.2,1089.3,636.9,637.7,70.8,989.6,974.7,1168.9,4.6,328.5,269.0,898.7,886.5,873.6,825.9,578.3,376.9
468,478,10-05-2019 00:00,201.0,79.7,600.0,1100.6,1299.1,1104.9,1060.8,591.3,590.5,76.6,987.2,976.5,1111.6,4.6,323.9,267.9,888.1,889.9,881.8,843.7,562.0,349.7
469,479,10-05-2019 01:00,201.0,79.8,599.3,1098.5,1284.7,1177.3,1082.2,595.5,594.3,77.4,986.6,998.9,1190.5,4.6,328.7,272.4,886.9,871.2,871.1,819.8,539.8,353.3
470,480,10-05-2019 02:00,201.0,79.5,600.1,1099.7,1284.8,1129.1,1094.7,589.3,589.3,68.0,979.8,1010.0,1193.9,4.6,323.7,270.1,951.9,915.4,879.5,824.7,525.2,335.9
471,481,10-05-2019 03:00,201.0,79.7,600.2,1100.9,1294.9,1091.6,1043.3,548.8,548.6,86.9,973.2,1059.4,1109.5,4.6,329.1,275.1,947.1,917.9,885.7,851.1,537.8,333.3
472,482,10-05-2019 04:00,200.8,79.6,600.1,1100.2,1300.0,1172.2,1081.0,555.4,550.8,78.4,1000.8,1034.1,1235.3,4.6,342.2,291.7,885.7,879.9,872.2,823.3,526.0,346.7
473,483,10-05-2019 05:00,201.1,79.7,599.6,1099.8,1287.2,1223.6,1100.0,633.8,593.5,67.5,1012.0,1019.8,1244.9,4.6,331.8,275.0,901.0,881.9,865.7,791.8,537.8,341.7
474,484,10-05-2019 06:00,202.0,80.0,600.3,1100.6,1290.6,1144.0,1089.2,621.9,577.7,82.8,991.3,1004.3,1234.3,4.6,326.7,273.0,920.0,907.6,880.0,828.7,543.0,332.4
475,485,10-05-2019 15:00,209.9,82.1,547.5,940.3,1089.1,977.5,911.3,565.3,567.9,73.1,1082.3,1140.0,1114.7,3.7,419.9,319.6,944.2,922.1,860.9,756.5,497.5,329.2
476,486,10-05-2019 16:00,212.7,83.3,543.1,1056.8,1255.0,1110.0,1026.7,678.0,676.5,137.2,1066.7,1093.3,1176.2,4.4,390.7,343.7,908.7,873.5,845.7,812.3,634.8,410.2
477,487,10-06-2019 03:00,197.3,79.2,600.0,1149.9,1321.4,1340.5,1054.1,669.8,663.2,73.2,939.9,1019.5,1306.9,3.9,318.1,222.3,799.0,782.9,801.0,693.0,511.2,373.9
478,488,10-10-2019 00:00,205.1,80.9,549.6,1003.5,1360.0,1092.5,900.3,600.3,600.4,93.7,1008.8,987.0,1114.2,3.7,357.6,260.2,864.9,922.2,888.0,793.6,596.7,376.6
479,489,10-10-2019 01:00,201.2,80.3,549.9,997.3,1370.8,1133.7,900.0,599.6,599.9,87.2,1011.7,984.8,1109.0,3.6,351.4,245.9,857.4,911.7,880.8,775.6,580.4,373.3
480,490,10-10-2019 02:00,201.2,80.1,550.7,1003.5,1302.1,1081.1,900.4,614.8,615.5,76.2,1018.1,972.4,1120.3,3.6,333.0,228.4,875.3,916.2,888.3,807.3,605.9,376.9
481,491,10-10-2019 03:00,201.0,79.9,592.5,1086.1,1253.9,1132.9,985.4,612.8,611.2,84.1,992.7,1004.3,1155.2,3.9,340.5,253.4,912.2,915.2,881.7,802.9,591.0,379.6
482,492,10-10-2019 04:00,202.5,80.4,600.5,1100.7,1300.1,1206.1,1000.5,600.6,599.4,116.6,992.8,972.6,1165.0,4.0,318.0,234.2,871.5,877.7,875.4,797.5,569.5,367.2
483,493,10-10-2019 17:00,213.1,83.4,550.7,1002.9,1339.5,1132.5,1000.8,622.1,673.5,92.8,1028.4,985.5,1256.9,4.6,298.5,236.1,895.7,905.8,858.0,783.0,582.4,404.3
484,494,10-10-2019 18:00,204.0,80.9,551.8,999.7,1360.2,1119.9,1000.3,600.3,604.1,88.4,966.9,989.0,1087.9,3.9,299.1,203.6,854.1,906.5,865.7,787.7,559.2,358.7
485,495,10-10-2019 19:00,201.2,79.9,525.3,1031.2,1283.3,1161.6,910.0,557.3,504.9,71.4,970.7,993.8,1060.8,3.7,332.5,230.2,773.3,837.8,846.9,761.3,535.9,323.2
486,496,10-10-2019 20:00,203.1,80.6,550.8,1098.3,1296.6,1194.5,951.1,583.8,546.6,91.4,1007.2,992.5,1172.3,4.1,304.1,216.4,932.3,930.0,864.0,727.0,511.9,339.6
487,497,10-10-2019 21:00,211.2,82.7,549.0,1143.2,1347.0,1182.4,1012.1,631.8,624.9,94.4,1002.6,916.7,1217.5,4.1,287.5,195.2,913.5,911.8,868.7,791.0,581.9,383.0
488,498,10-10-2019 22:00,211.3,83.2,548.9,1148.8,1372.4,1249.6,1050.4,611.4,609.2,74.1,996.2,972.7,1286.4,4.1,303.2,216.8,915.3,909.1,861.2,758.8,514.9,337.7
489,499,10-10-2019 23:00,211.3,83.7,594.3,1148.7,1371.8,1271.5,1050.2,607.8,606.7,69.6,1025.3,966.4,1313.6,4.1,317.2,234.1,925.4,911.3,860.9,736.4,492.0,323.3
490,500,10-11-2019 00:00,211.1,83.9,599.7,1148.9,1363.2,1296.2,1050.3,611.7,615.0,74.0,1038.0,946.9,1358.0,4.1,333.5,252.1,924.4,910.5,854.4,710.9,463.6,312.4
491,501,10-11-2019 01:00,211.3,83.5,600.0,1147.9,1347.1,1254.3,1049.6,620.2,626.3,72.7,1031.9,975.8,1289.4,4.1,329.3,249.5,934.7,917.4,866.5,745.1,500.0,329.3
492,502,10-11-2019 02:00,211.2,82.8,600.5,1150.9,1308.9,1218.7,1050.6,623.4,629.6,70.5,1040.9,963.1,1298.6,4.1,341.4,262.2,969.0,942.6,880.3,769.0,523.8,337.2
493,503,10-11-2019 03:00,211.2,82.5,599.4,1150.3,1354.7,1271.0,1050.4,606.1,605.9,80.5,1038.1,907.0,1346.0,4.1,335.8,256.6,940.3,926.3,871.7,742.0,491.2,318.6
494,504,10-11-2019 04:00,211.3,82.5,600.6,1148.7,1341.2,1264.3,1049.6,615.2,615.5,75.7,1039.3,914.0,1312.7,4.1,324.7,244.3,946.2,926.3,873.4,746.5,497.6,324.0
495,505,10-11-2019 05:00,211.3,82.4,600.1,1152.8,1320.5,1232.3,1049.8,625.4,626.7,70.7,1043.6,912.0,1304.0,4.1,317.1,235.4,960.2,934.4,881.6,770.6,529.3,339.1
496,506,10-11-2019 06:00,211.2,82.5,600.8,1149.4,1334.3,1208.3,1050.2,607.3,606.6,72.9,1036.5,909.3,1231.0,4.1,305.4,220.3,958.3,943.6,885.2,778.3,518.4,332.4
497,507,10-11-2019 07:00,211.2,82.6,600.5,1153.2,1363.5,1226.3,1050.7,599.7,600.8,73.3,999.0,970.6,1218.7,4.1,324.5,242.8,914.1,915.4,881.0,786.7,515.3,331.3
498,508,10-11-2019 08:00,211.3,82.6,599.5,1123.0,1347.2,1223.6,1049.8,600.2,600.4,71.3,1008.4,989.1,1217.5,4.1,344.2,267.0,930.2,925.3,872.7,760.9,493.9,327.6
499,509,10-11-2019 09:00,211.3,83.1,599.8,1098.6,1293.0,1159.1,1048.7,599.6,599.3,79.7,1020.0,937.9,1200.7,4.1,319.1,236.1,939.4,931.7,872.3,786.7,508.7,332.1
500,510,10-11-2019 10:00,211.2,83.0,600.0,1123.9,1309.8,1131.5,1065.5,599.6,599.8,87.3,1016.3,913.6,1191.5,4.1,310.3,223.5,923.7,925.0,869.6,816.6,540.3,346.9
501,511,10-11-2019 11:00,211.2,83.1,599.8,1133.3,1311.4,1110.0,1061.4,599.4,599.7,83.8,1010.5,914.0,1118.3,4.1,310.1,225.6,912.4,918.7,869.4,826.6,557.0,355.1
502,512,10-11-2019 12:00,211.1,83.2,599.7,1099.7,1314.8,1125.1,1072.4,600.8,600.1,81.4,992.5,960.1,1117.9,4.1,332.3,251.9,910.9,914.0,863.0,817.6,549.9,356.9
503,513,10-11-2019 13:00,211.0,83.2,600.2,1102.5,1319.7,1091.1,1064.1,599.4,600.9,88.5,1008.7,971.3,1100.5,4.0,349.1,272.7,911.0,914.3,861.7,822.0,548.4,348.2
504,514,10-11-2019 14:00,210.9,83.3,550.9,993.9,1280.0,1059.0,1031.6,603.5,601.0,97.7,1017.0,991.1,1093.5,3.7,366.3,265.2,928.0,922.8,864.8,830.6,576.0,365.7
505,515,10-11-2019 15:00,210.8,83.5,549.7,1000.7,1264.7,1082.7,1056.0,623.1,622.3,91.8,1022.7,1001.5,1228.6,3.9,388.6,303.5,932.5,919.0,861.4,822.2,580.9,368.3
506,516,10-11-2019 16:00,211.1,83.9,549.0,1000.6,1296.8,1118.0,1099.6,600.5,600.8,109.2,989.9,997.5,1278.2,4.0,354.4,279.4,927.8,919.5,855.6,800.2,520.8,331.0
507,517,10-11-2019 17:00,211.3,84.2,548.6,997.0,1269.5,1057.2,1047.9,598.5,598.2,93.7,996.4,966.0,1187.6,4.1,356.9,280.9,926.4,928.0,868.8,823.8,553.4,336.4
508,518,10-11-2019 18:00,211.5,84.2,550.1,1001.2,1243.2,1088.0,1076.2,613.2,612.5,129.2,1004.1,956.1,1240.6,4.1,352.8,276.6,946.5,937.9,871.2,818.3,557.9,356.7
509,519,10-11-2019 19:00,211.5,85.2,550.5,1000.5,1230.1,1049.8,1040.4,614.1,613.8,110.3,1024.7,947.3,1288.8,4.1,322.0,241.4,957.5,942.4,881.5,836.9,579.3,360.8
510,520,10-11-2019 20:00,211.6,85.4,549.9,1001.6,1347.7,1148.5,1081.6,601.0,600.5,127.1,1023.8,988.0,1330.0,4.1,333.4,253.3,896.8,915.7,871.8,818.7,545.7,345.9
511,521,10-11-2019 21:00,211.6,85.3,550.6,998.5,1294.6,1074.6,1053.8,610.0,610.8,94.7,1025.3,1012.0,1119.8,4.0,325.5,238.6,920.8,937.7,885.1,841.2,576.8,356.5
512,522,10-11-2019 22:00,211.7,85.1,549.7,998.3,1255.3,1052.2,1033.5,641.4,623.0,85.1,1033.9,1037.3,1101.6,4.1,320.5,239.7,936.7,946.9,889.8,851.3,623.6,376.9
513,523,10-11-2019 23:00,211.6,85.0,549.7,999.5,1258.7,1113.1,1050.2,641.0,638.1,96.2,1031.8,1041.3,1194.7,4.1,334.3,252.3,934.6,927.9,882.5,841.6,616.4,394.4
514,524,10-12-2019 00:00,211.6,84.8,561.6,1009.3,1346.6,1178.1,1084.9,631.5,631.8,77.5,996.2,1056.6,1261.5,4.1,351.6,275.5,868.4,909.9,877.5,806.2,543.4,344.4
515,525,10-12-2019 01:00,211.7,84.7,600.6,1002.0,1348.2,1152.7,1098.5,615.1,615.1,82.4,1010.3,1045.0,1305.7,4.1,368.0,294.8,887.7,923.7,883.0,828.7,562.7,348.8
516,526,10-12-2019 02:00,211.7,84.8,600.1,1052.3,1361.6,1191.6,1099.8,614.6,612.5,94.3,1022.0,1066.3,1360.0,4.1,373.7,299.2,899.8,919.4,879.0,799.9,518.4,321.2
517,527,10-12-2019 03:00,211.5,84.8,627.0,1051.1,1332.5,1192.7,1099.7,614.9,615.0,70.7,1025.4,1072.7,1301.1,4.1,367.3,291.2,931.9,930.5,880.5,796.4,520.8,320.0
518,528,10-12-2019 04:00,211.4,85.0,649.9,1051.4,1311.9,1202.8,1100.2,667.8,669.1,77.2,1041.8,1057.3,1334.7,4.1,342.5,262.8,924.8,930.9,879.7,781.6,537.4,345.1
519,529,15-10-2019 04:00,194.5,80.0,569.5,1049.8,1351.7,1152.1,1089.6,602.7,602.8,96.2,1008.7,1034.4,1259.3,3.9,369.6,281.7,904.5,925.1,881.4,833.5,564.1,355.9
520,530,15-10-2019 05:00,182.8,76.2,561.5,1048.9,1339.9,1170.3,1057.7,579.8,581.2,95.7,964.6,994.6,1204.3,3.9,333.1,242.5,842.0,881.3,879.9,832.4,551.4,340.1
521,531,15-10-2019 06:00,201.6,82.2,549.8,1048.6,1236.1,1052.3,998.2,550.2,549.7,94.7,955.2,944.4,1102.0,3.9,327.6,235.3,947.2,950.7,897.4,843.5,562.9,333.3
522,532,15-10-2019 07:00,201.6,82.4,550.2,1048.9,1293.2,1045.7,1001.0,549.8,549.4,105.5,933.8,972.8,1070.0,3.9,339.5,249.2,914.4,934.3,899.9,857.3,567.7,341.1
523,533,15-10-2019 08:00,201.5,82.1,548.9,1049.7,1285.5,1059.5,998.6,550.6,549.8,80.0,941.9,956.7,1091.1,3.9,350.9,259.1,913.9,929.1,891.0,846.3,569.3,346.2
524,534,15-10-2019 09:00,201.4,81.4,549.4,1049.4,1233.0,1014.8,989.1,549.3,549.5,82.9,963.2,980.3,1182.9,3.9,347.7,257.4,952.3,951.0,885.7,848.8,563.3,342.2
525,535,15-10-2019 10:00,201.4,81.6,549.7,1048.6,1237.6,1023.8,997.2,558.4,557.0,95.2,981.4,954.6,1160.5,3.9,336.1,243.5,940.1,942.4,878.9,832.4,548.2,337.4
526,536,15-10-2019 11:00,201.3,81.5,549.8,1051.0,1255.8,1025.2,988.6,550.1,549.5,101.8,943.1,988.2,1147.3,3.9,344.1,251.2,930.8,931.3,875.2,839.5,563.3,344.0
527,537,15-10-2019 12:00,201.4,81.5,550.5,1047.5,1239.2,1036.3,996.5,549.9,550.1,89.8,986.6,956.1,1127.8,3.9,351.8,262.8,936.4,933.8,871.3,811.1,528.7,330.6
528,538,15-10-2019 13:00,201.3,81.3,549.6,1052.5,1202.5,970.0,970.9,549.6,550.1,93.6,960.6,959.6,1091.4,3.9,344.9,256.3,939.7,940.2,879.1,845.9,566.1,343.5
529,539,15-10-2019 14:00,201.4,81.3,550.6,1050.5,1265.1,1012.1,986.9,550.2,549.2,99.1,954.1,972.8,1096.5,3.9,329.7,239.3,908.5,920.0,872.1,838.6,560.0,346.2
530,540,15-10-2019 15:00,201.4,81.6,549.5,1051.2,1207.8,991.0,978.3,551.0,550.6,86.8,960.6,978.6,1072.1,3.9,317.6,223.9,953.1,935.6,876.8,836.0,558.5,339.5
531,541,15-10-2019 16:00,201.5,81.3,551.1,1053.6,1321.5,1110.2,1000.2,557.4,557.3,103.9,987.1,949.8,1154.4,3.9,320.0,225.6,882.9,910.1,860.1,796.7,543.3,360.4
532,542,15-10-2019 17:00,207.8,83.5,549.3,1045.7,1319.1,1114.5,1000.1,552.4,552.0,80.3,1008.9,917.9,1168.7,3.9,320.0,226.9,903.6,913.9,862.1,779.3,514.9,324.2
533,543,16-10-2019 01:00,247.4,94.6,579.9,1048.4,1325.6,1141.8,1054.1,679.8,678.0,103.9,1059.4,376.7,1233.4,3.9,386.3,299.5,899.3,904.9,881.5,844.6,649.3,434.7
534,544,16-10-2019 02:00,257.9,97.2,594.3,1087.5,1342.2,1193.9,1098.5,609.3,607.6,114.3,1043.9,675.4,1324.0,3.9,373.0,285.8,889.2,889.4,865.8,810.1,558.3,363.6
535,545,16-10-2019 12:00,188.8,77.8,477.9,834.1,1033.1,948.6,1043.9,867.4,870.5,157.8,794.3,1003.7,1327.7,1.5,428.2,142.9,1064.5,994.3,882.8,823.5,732.9,530.0
536,546,16-10-2019 13:00,184.6,76.6,541.2,973.7,1098.4,875.0,992.2,899.1,899.4,192.3,855.4,970.5,1272.8,1.6,419.4,148.0,1024.0,975.9,880.1,843.3,782.6,581.5
537,547,16-10-2019 14:00,201.2,81.4,662.9,1092.0,1273.3,1004.8,956.1,875.0,882.2,194.1,942.9,923.5,1152.5,2.6,329.3,164.5,891.5,905.8,861.4,854.7,817.5,622.7
538,548,16-10-2019 15:00,218.6,86.3,732.5,1168.5,1400.5,1215.2,1057.6,936.7,886.6,150.9,916.5,959.5,1154.1,3.5,323.0,213.4,830.0,847.9,839.4,818.5,778.7,615.7
539,549,16-10-2019 19:00,202.6,82.8,548.1,983.2,1227.1,992.3,976.8,606.8,574.7,113.1,1083.4,1169.3,1144.5,3.4,563.9,426.4,941.5,952.5,893.4,851.7,601.2,370.9
540,558,16-10-2019 20:00,276.9,102.4,683.0,1133.6,1180.3,1116.5,986.3,932.5,906.9,151.8,1072.2,1129.9,1175.2,4.1,442.8,378.8,844.1,803.1,802.1,792.0,766.5,584.6
541,559,17-10-2019 20:00,289.3,105.0,680.4,1179.4,1415.8,1227.2,1095.6,669.9,650.9,85.5,1027.6,1219.1,750.0,4.1,471.7,408.5,783.7,861.4,865.5,811.5,586.0,389.5
542,560,17-10-2019 21:00,221.5,87.1,591.2,1121.8,1248.0,1225.4,946.0,654.4,640.9,89.1,1113.7,1187.2,750.0,3.9,460.3,376.0,740.8,780.6,823.0,753.6,578.7,394.6
543,561,17-10-2019 22:00,209.6,83.7,597.5,1107.5,1348.0,1197.8,909.8,609.4,599.4,80.4,1067.9,1146.8,956.7,3.2,501.9,354.2,798.0,863.0,874.4,781.8,580.2,385.2
544,562,22-10-2019 01:00,230.4,90.4,650.3,1149.5,1380.0,1232.9,948.7,598.8,549.7,83.2,1048.1,1195.5,750.0,3.9,448.4,364.5,839.1,887.9,880.3,757.3,519.4,322.2
545,563,22-10-2019 02:00,230.5,90.2,650.6,1150.5,1375.7,1243.5,969.2,616.6,568.5,95.7,1059.5,1175.2,750.0,3.9,475.4,392.2,876.9,889.2,879.4,780.6,563.0,346.2
546,564,22-10-2019 03:00,230.8,90.0,630.5,1149.7,1366.9,1190.0,1000.4,657.0,636.9,93.5,1066.1,1124.8,750.0,3.9,447.4,365.0,870.8,875.4,858.1,805.6,631.0,403.0
547,565,22-10-2019 04:00,230.7,89.9,599.8,1150.2,1377.4,1256.0,999.9,675.9,678.3,89.5,1054.2,1089.1,752.5,3.9,433.1,349.1,884.5,882.7,867.1,785.6,636.7,435.1
548,566,22-10-2019 05:00,232.9,90.7,599.2,1149.7,1392.8,1298.1,1000.0,657.8,657.2,77.5,1029.3,1078.3,750.0,3.9,424.7,340.7,879.3,880.7,856.3,740.1,569.3,391.3
549,567,22-10-2019 06:00,239.9,92.8,599.7,1149.5,1380.7,1327.3,1000.3,652.7,652.2,81.0,1014.9,1067.2,750.0,3.9,412.1,327.0,882.3,882.3,862.6,723.6,549.6,378.7
550,568,22-10-2019 07:00,246.8,94.6,641.1,1149.2,1381.7,1325.4,1000.0,650.8,650.5,87.2,1015.5,1069.8,750.0,3.9,405.4,320.3,882.0,880.2,863.4,725.2,547.4,377.3
551,569,22-10-2019 08:00,257.6,97.8,650.4,1150.4,1389.7,1318.9,999.5,645.6,645.2,81.3,1021.0,1070.4,750.0,3.9,412.5,328.3,879.7,882.0,858.7,726.7,541.0,372.2
552,572,22-10-2019 09:00,253.9,96.5,551.2,1127.6,1385.7,1260.0,999.0,599.4,599.8,72.2,1010.1,1086.0,750.0,3.6,439.9,338.7,861.5,888.6,866.4,753.9,526.1,349.3
553,573,22-10-2019 10:00,250.6,95.1,551.6,1101.0,1385.3,1179.5,999.4,636.0,637.5,77.1,1058.7,1093.8,750.0,3.5,447.8,338.5,879.2,901.7,874.2,807.8,611.6,403.4
554,574,22-10-2019 11:00,250.5,95.1,599.8,1099.8,1381.7,1200.8,1000.2,604.9,604.1,99.2,1016.0,1120.8,750.0,3.6,416.7,313.8,885.4,902.2,864.7,774.9,560.4,379.2
